hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)","P4 (kW)","Q4 (kvar)"
1, 0.00000, 14.187, 1.77145, 17.3533, 0.840616, 16.5761, 4.04806, 0, 0
2, 0.00000, 11.2652, 0.349763, 16.3905, 0.17809, 13.9763, 4.70254, 0, 0
3, 0.00000, 11.1506, 0.1883, 16.1439, 0.299441, 13.5508, 4.56824, 0, 0
4, 0.00000, 8.72772, 1.13531, 11.5784, -0.708062, 11.7494, 2.68232, 0, 0
5, 0.00000, 9.06562, 1.04086, 12.2743, -0.6173, 12.1059, 2.99055, 0, 0
6, 0.00000, 9.15835, 1.38838, 11.9608, -0.722215, 12.3873, 2.75999, 0, 0
7, 0.00000, 7.60739, 0.742387, 7.04666, 2.42305, 5.87154, 1.09714, 0, 0
8, 0.00000, 21.5931, 1.83351, 25.3526, 3.62907, 21.9176, 5.98724, 0, 0
9, 0.00000, 16.7869, 1.30847, 20.2432, 2.16102, 17.7766, 4.72805, 0, 0
10, 0.00000, 13.3469, 2.00476, 15.7414, 0.577069, 15.7804, 3.36455, 0, 0
11, 0.00000, 19.0952, 3.24759, 17.0261, 3.31185, 18.0051, 1.48776, 0, 0
12, 0.00000, 18.845, 5.86693, 21.0435, -0.0913385, 25.1041, 4.7914, 0, 0
13, 0.00000, 17.6832, 4.6539, 23.286, -0.665568, 25.0911, 6.846, 0, 0
14, 0.00000, 18.5896, 3.27299, 23.5272, -1.19376, 24.9264, 5.31545, 0, 0
15, 0.00000, 14.4669, 2.73501, 21.5776, -3.11695, 23.0898, 5.96681, 0, 0
16, 0.00000, 16.8716, 2.49713, 23.7659, -1.8941, 24.1212, 6.27192, 0, 0
17, 0.00000, 24.7541, 3.67271, 31.9902, 0.406172, 31.2005, 8.30597, 0, 0
18, 0.00000, 31.6907, 10.8905, 34.3148, 1.44478, 41.1827, 8.4393, 0, 0
19, 0.00000, 24.4314, 9.95045, 27.871, -1.19445, 35.8026, 7.35595, 0, 0
20, 0.00000, 27.3021, 6.87876, 25.8008, 3.73082, 29.2777, 4.00441, 0, 0
21, 0.00000, 27.6214, 5.84444, 28.0214, 4.08958, 29.3411, 5.31323, 0, 0
22, 0.00000, 29.8214, 6.66337, 33.93, 3.34433, 34.7497, 8.56181, 0, 0
23, 0.00000, 32.1009, 6.10086, 36.1036, 4.77956, 35.2461, 8.90656, 0, 0
24, 0.00000, 21.9812, 7.67033, 27.1227, -1.01784, 32.0757, 7.77831, 0, 0
