hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)"
1, 0.00000, 7.40581, 3.17398, 9.60079, -1.52942, 17.0024, 1.65462
2, 0.00000, 5.96042, 2.88657, 10.7345, -1.29923, 16.6842, 1.58234
3, 0.00000, 5.48489, 2.79032, 10.7104, -1.30487, 16.1853, 1.48066
4, 0.00000, 5.65271, 2.82167, 5.98625, -2.27617, 11.6355, 0.557403
5, 0.00000, 5.76633, 2.84509, 6.65625, -2.13815, 12.4178, 0.716315
6, 0.00000, 6.17765, 2.92744, 5.984, -2.27562, 12.1581, 0.664676
7, 0.00000, 1.43291, 0.290646, 4.21539, 0.856544, 5.64877, 1.14734
8, 0.00000, 8.04646, 3.29785, 15.6012, -0.282269, 23.6466, 3.02384
9, 0.00000, 6.64766, 3.01721, 12.3063, -0.964273, 18.9497, 2.06174
10, 0.00000, 7.23019, 3.13486, 8.04306, -1.84153, 15.2692, 1.31253
11, 0.00000, 6.03445, 2.88219, 7.00847, -2.05274, 13.0643, 0.876225
12, 0.00000, 15.4764, 4.79899, 7.75618, -1.88295, 23.2272, 2.9529
13, 0.00000, 15.8238, 4.87596, 11.2019, -1.17395, 27.0117, 3.71751
14, 0.00000, 8.05364, 3.29722, 6.69704, -2.11286, 14.7481, 1.2199
15, 0.00000, 8.80321, 3.45493, 6.12277, -2.23205, 14.91, 1.24409
16, 0.00000, 8.08941, 3.30895, 7.98822, -1.84865, 16.0652, 1.48243
17, 0.00000, 10.842, 3.8616, 12.9475, -0.819997, 23.7833, 3.06589
18, 0.00000, 21.8633, 4.45299, 7.88887, 1.60278, 29.7778, 6.06579
19, 0.00000, 20.8042, 4.23648, 4.12261, 0.83697, 24.9386, 5.07813
20, 0.00000, 9.87303, 2.00797, 5.31383, 1.07926, 15.1954, 3.09001
21, 0.00000, 13.7181, 4.43849, 12.8003, -0.854029, 26.5399, 3.62103
22, 0.00000, 18.6209, 5.43766, 16.8179, -0.0192055, 35.4543, 5.43973
23, 0.00000, 17.2534, 5.15859, 19.083, 0.444852, 36.3555, 5.62248
24, 0.00000, 21.8631, 6.10107, 10.7216, -1.27241, 32.5748, 4.84648
